OP_CARRIER_AIRLINE_ID,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DEP_TIME_BUCKET,count,delayed_count,sum_positive_delay
19393,10140,10423,afternoon,867,457,13926.0
19393,10140,10423,evening,100,49,2186.0
19393,10140,10423,morning,1031,322,7624.0
19393,10140,10423,night,50,6,67.0
19393,10140,10800,afternoon,583,296,8303.0
19393,10140,10800,evening,125,82,3279.0
19393,10140,10800,morning,135,32,614.0
19393,10140,10821,afternoon,589,356,12353.0
19393,10140,10821,morning,555,139,3259.0
19393,10140,10821,night,18,5,130.0
19393,10140,11259,afternoon,2636,1266,42008.0
19393,10140,11259,evening,984,543,20163.0
19393,10140,11259,morning,3101,759,18427.0
19393,10140,11259,night,536,96,2210.0
19393,10140,11292,afternoon,2054,962,31692.0
19393,10140,11292,evening,890,391,14947.0
19393,10140,11292,morning,2272,543,12886.0
19393,10140,11292,night,641,89,1670.0
19393,10140,12191,afternoon,1772,714,20943.0
19393,10140,12191,evening,65,27,1359.0
19393,10140,12191,morning,1932,507,10200.0
19393,10140,12191,night,356,72,749.0
19393,10140,12889,afternoon,1987,926,30944.0
19393,10140,12889,evening,1469,755,30601.0
19393,10140,12889,morning,2217,540,14857.0
19393,10140,12889,night,375,34,871.0
19393,10140,12892,afternoon,945,439,12881.0
19393,10140,12892,evening,524,292,8419.0
19393,10140,12892,morning,703,212,4221.0
19393,10140,12892,night,73,11,138.0
19393,10140,12954,afternoon,191,80,2070.0
19393,10140,12954,evening,7,4,55.0
19393,10140,12954,morning,125,38,519.0
19393,10140,13198,afternoon,562,272,6691.0
19393,10140,13198,evening,20,15,961.0
19393,10140,13198,morning,311,88,2221.0
19393,10140,13204,afternoon,52,39,1176.0
19393,10140,13204,morning,58,31,1071.0
19393,10140,13232,afternoon,936,456,13101.0
19393,10140,13232,morning,1248,313,7088.0
19393,10140,13232,night,71,23,476.0
19393,10140,13796,afternoon,256,114,2849.0
19393,10140,13796,evening,359,139,4045.0
19393,10140,13796,morning,1263,243,6203.0
19393,10140,13796,night,158,23,475.0
19393,10140,14057,afternoon,17,8,216.0
19393,10140,14057,morning,83,10,103.0
19393,10140,14107,afternoon,2218,1002,27435.0
19393,10140,14107,evening,1849,1060,37237.0
19393,10140,14107,morning,3039,829,18977.0
19393,10140,14107,night,278,28,863.0
19393,10140,14679,afternoon,854,432,12079.0
19393,10140,14679,evening,289,142,4698.0
19393,10140,14679,morning,1024,264,6359.0
19393,10140,14683,afternoon,39,26,637.0
19393,10140,14683,morning,22,7,131.0
19393,10140,14831,afternoon,22,9,210.0
19393,10140,14831,morning,64,15,262.0
19393,10140,14908,afternoon,25,7,110.0
19393,10140,14908,morning,9,3,59.0
19393,10257,10821,afternoon,3517,1255,38683.0
19393,10257,10821,evening,502,212,8720.0
19393,10257,10821,morning,2740,470,11210.0
19393,10257,10821,night,762,110,3581.0
19393,10257,11278,afternoon,55,22,400.0
19393,10257,11292,afternoon,202,93,2973.0
19393,10257,11292,evening,304,149,4541.0
19393,10257,11292,morning,255,82,2452.0
19393,10257,11292,night,5,2,10.0
19393,10257,11697,afternoon,93,32,1575.0
19393,10257,11697,evening,5,0,0.0
19393,10257,11697,morning,249,59,1197.0
19393,10257,11697,night,10,4,76.0
19393,10257,12889,afternoon,41,24,940.0
19393,10257,12889,morning,1,1,21.0
19393,10257,13204,afternoon,1246,564,21992.0
19393,10257,13204,evening,132,65,2990.0
19393,10257,13204,morning,1136,264,9072.0
19393,10257,13204,night,118,20,856.0
19393,10257,13232,afternoon,742,314,8978.0
19393,10257,13232,evening,985,467,19854.0
19393,10257,13232,morning,982,193,5601.0
19393,10257,13232,night,406,58,1440.0
19393,10257,14635,afternoon,17,2,68.0
19393,10257,14635,evening,8,4,54.0
19393,10257,14635,morning,10,5,452.0
19393,10257,14635,night,19,5,46.0
19393,10257,15304,afternoon,625,282,11296.0
19393,10257,15304,evening,31,13,396.0
19393,10257,15304,morning,277,76,2682.0
19393,10257,15304,night,60,12,314.0
19393,10279,10423,afternoon,197,70,2138.0
19393,10279,10423,morning,539,83,1733.0
19393,10279,11259,afternoon,1896,735,26339.0
19393,10279,11259,evening,1095,382,13849.0
19393,10279,11259,morning,2375,391,10496.0
19393,10279,11259,night,386,53,1696.0
19393,10279,11292,afternoon,413,159,7083.0
19393,10279,11292,evening,130,47,2142.0
19393,10279,11292,morning,30,4,91.0
19393,10279,12191,afternoon,38,7,184.0
19393,10279,12191,morning,3,0,0.0
19393,10279,12889,afternoon,1361,550,20426.0
19393,10279,12889,evening,20,8,212.0
19393,10279,12889,morning,358,73,1747.0
19393,10397,10423,afternoon,1408,616,16732.0
19393,10397,10423,evening,1313,763,26592.0
19393,10397,10423,morning,2060,520,10679.0
19393,10397,10693,afternoon,1388,492,13863.0
19393,10397,10693,evening,1127,534,17500.0
19393,10397,10693,morning,1482,275,5603.0
19393,10397,10721,afternoon,276,118,4531.0
19393,10397,10721,evening,363,190,7153.0
19393,10397,10721,morning,261,61,1519.0
19393,10397,10821,afternoon,2397,1010,30267.0
19393,10397,10821,evening,2747,1572,59567.0
19393,10397,10821,morning,3610,957,20466.0
19393,10397,10821,night,15,3,42.0
19393,10397,11042,afternoon,671,274,7244.0
19393,10397,11042,evening,333,189,5714.0
19393,10397,11042,morning,901,240,4349.0
19393,10397,11066,afternoon,849,287,6768.0
19393,10397,11066,evening,1243,749,28462.0
19393,10397,11066,morning,1401,363,7085.0
19393,10397,11259,afternoon,2362,1075,32536.0
19393,10397,11259,evening,2221,1265,48940.0
19393,10397,11259,morning,3330,875,17538.0
19393,10397,11259,night,5,1,16.0
19393,10397,11278,afternoon,1652,676,22970.0
19393,10397,11278,evening,1555,897,33700.0
19393,10397,11278,morning,2711,661,17193.0
19393,10397,11292,afternoon,2071,930,28093.0
19393,10397,11292,evening,1605,935,34593.0
19393,10397,11292,morning,2908,899,19082.0
19393,10397,11292,night,20,7,114.0
19393,10397,11433,afternoon,304,143,3865.0
19393,10397,11433,evening,369,201,5380.0
19393,10397,11433,morning,351,108,1801.0
19393,10397,11481,afternoon,190,63,1708.0
19393,10397,11481,evening,4,2,82.0
19393,10397,11481,morning,190,57,1584.0
19393,10397,11697,afternoon,1910,801,26212.0
19393,10397,11697,evening,1754,975,35608.0
19393,10397,11697,morning,2545,702,16083.0
19393,10397,11697,night,9,2,38.0
19393,10397,11996,afternoon,759,265,7051.0
19393,10397,11996,evening,1541,899,31625.0
19393,10397,11996,morning,1525,340,6744.0
19393,10397,12191,afternoon,2084,859,24103.0
19393,10397,12191,evening,2628,1388,50619.0
19393,10397,12191,morning,3328,893,17826.0
19393,10397,12264,afternoon,598,191,6369.0
19393,10397,12264,evening,203,75,2051.0
19393,10397,12264,morning,1186,293,6513.0
19393,10397,12339,afternoon,986,373,11062.0
19393,10397,12339,evening,1498,832,30625.0
19393,10397,12339,morning,1609,366,8172.0
19393,10397,12448,afternoon,821,224,7191.0
19393,10397,12448,evening,938,498,20690.0
