Code,Description
19393,Southwest Airlines Co.: WN
19687,Horizon Air: QX
19690,Hawaiian Airlines Inc.: HA
19790,Delta Air Lines Inc.: DL
19805,American Airlines Inc.: AA
19930,Alaska Airlines Inc.: AS
19977,United Air Lines Inc.: UA
20046,Air Wisconsin Airlines Corp: ZW
20225,Peninsula Airways Inc.: KS
20237,Trans States Airlines: AX
20253,"Hyannis Air Service, Inc. dba Cape Air: 9K"
20263,Empire Airlines Inc.: EM
20304,SkyWest Airlines Inc.: OO
20363,Endeavor Air Inc.: 9E
20366,ExpressJet Airlines LLC d/b/a aha!: EV
20368,Allegiant Air: G4
20378,Mesa Airlines Inc.: YV
20397,PSA Airlines Inc.: OH
20398,Envoy Air: MQ
20409,JetBlue Airways: B6
20416,Spirit Air Lines: NK
20427,Piedmont Airlines: PT
20436,Frontier Airlines Inc.: F9
20445,CommuteAir LLC dba CommuteAir: C5
20452,Republic Airline: YX
20500,GoJet Airlines LLC d/b/a United Express: G7
21167,Compass Airlines: CP (2)
21171,Virgin America: VX
